Date,Open,High,Low,Close
01/2022,"46,338","47,946","43,522","43,658"
12/2021,"57,144","59,093","42,169","46,322"
11/2021,"60,968","68,925","53,577","57,144"
10/2021,"43,432","66,923","43,302","60,968"
09/2021,"47,008","52,918","39,721","43,432"
08/2021,"41,516","50,478","37,454","46,996"
07/2021,"34,585","42,247","29,336","41,516"
06/2021,"36,677","41,289","29,002","34,585"
05/2021,"56,812","59,556","30,445","36,677"
04/2021,"58,932","64,788","47,110","56,803"
03/2021,"45,254","61,732","44,970","58,932"
02/2021,"32,608","58,315","32,397","45,255"
01/2021,"31,029","41,958","28,898","32,626"
