Date,Open,High,Low,Close
01/05/2022,"47,312","47,946","43,522","43,658"
01/01/2022,"51,003","51,976","45,715","47,312"
12/25/2021,"46,941","51,836","45,581","51,001"
12/18/2021,"48,847","50,767","45,539","46,941"
12/11/2021,"48,770","51,942","46,880","48,847"
12/04/2021,"54,601","59,146","42,169","48,745"
11/27/2021,"59,682","60,044","53,577","54,601"
11/20/2021,"64,317","66,311","55,688","59,682"
11/13/2021,"61,226","68,925","61,226","64,317"
11/06/2021,"61,698","64,243","59,716","61,223"
10/30/2021,"61,087","63,688","57,964","61,705"
10/23/2021,"61,013","66,923","59,071","61,087"
10/16/2021,"54,651","62,719","54,211","61,024"
10/09/2021,"48,045","55,981","46,993","54,651"
10/02/2021,"42,719","48,441","40,806","48,045"
09/25/2021,"48,008","48,359","39,721","42,719"
09/18/2021,"45,317","48,797","43,561","48,008"
09/11/2021,"50,195","52,918","43,917","45,333"
09/04/2021,"48,760","50,999","46,567","50,195"
08/28/2021,"49,070","50,478","46,383","48,760"
08/21/2021,"46,665","49,799","44,016","48,988"
08/14/2021,"43,945","48,103","42,832","46,665"
08/07/2021,"41,516","44,557","37,454","43,945"
07/31/2021,"33,919","42,247","33,851","41,516"
07/24/2021,"31,755","34,518","29,336","33,919"
07/17/2021,"33,329","34,611","31,085","31,755"
07/10/2021,"34,715","35,945","32,142","33,329"
07/03/2021,"31,315","36,548","30,968","34,715"
06/26/2021,"36,193","36,193","29,002","31,329"
06/19/2021,"36,041","41,289","34,888","36,193"
06/12/2021,"35,857","38,389","31,101","36,041"
06/05/2021,"34,266","39,469","33,554","35,826"
05/29/2021,"38,093","40,859","31,228","34,266"
05/22/2021,"48,266","49,812","30,445","38,086"
05/15/2021,"59,014","59,552","46,710","48,255"
05/08/2021,"57,685","59,556","53,058","59,014"
05/01/2021,"50,955","58,459","47,110","57,700"
04/24/2021,"60,843","60,966","47,657","50,955"
04/17/2021,"58,606","64,788","58,599","60,843"
04/10/2021,"58,038","61,197","55,494","58,621"
04/03/2021,"55,909","60,118","54,740","58,063"
03/27/2021,"58,466","58,792","50,485","55,916"
03/20/2021,"61,002","61,674","53,311","58,466"
03/13/2021,"48,592","61,732","48,552","61,002"
03/06/2021,"46,844","52,564","43,197","48,583"
02/27/2021,"56,523","58,315","44,246","46,844"
02/20/2021,"47,210","57,485","45,944","56,501"
02/13/2021,"40,085","48,842","37,422","47,210"
02/06/2021,"34,649","40,972","32,237","40,103"
01/30/2021,"32,399","38,641","29,288","34,649"
01/23/2021,"35,935","37,843","28,898","32,340"
01/16/2021,"40,802","41,423","30,323","35,785"
01/09/2021,"31,029","41,958","29,991","40,769"
