Date,Open,High,Low,Close
01/05/2022,"4,778.14","4,818.62","4,699.44","4,700.58"
12/31/2021,"4,733.99","4,808.93","4,733.99","4,766.18"
12/23/2021,"4,587.90","4,740.74","4,531.10","4,725.79"
12/17/2021,"4,710.30","4,731.99","4,600.22","4,620.64"
12/10/2021,"4,548.37","4,713.57","4,540.51","4,712.02"
12/03/2021,"4,628.75","4,672.95","4,495.12","4,538.43"
11/26/2021,"4,712.00","4,743.83","4,585.43","4,594.62"
11/19/2021,"4,689.30","4,717.75","4,672.78","4,697.96"
11/12/2021,"4,701.48","4,714.92","4,630.86","4,682.85"
11/05/2021,"4,610.62","4,718.50","4,595.06","4,697.53"
10/29/2021,"4,553.69","4,608.08","4,537.36","4,605.38"
10/22/2021,"4,463.72","4,559.67","4,447.47","4,544.90"
10/15/2021,"4,385.44","4,475.82","4,329.92","4,471.37"
10/08/2021,"4,348.84","4,429.97","4,278.94","4,391.34"
10/01/2021,"4,442.12","4,457.30","4,288.52","4,357.04"
09/24/2021,"4,402.95","4,465.40","4,305.91","4,455.48"
09/17/2021,"4,474.81","4,492.99","4,427.76","4,432.99"
09/10/2021,"4,535.38","4,535.38","4,457.66","4,458.58"
09/03/2021,"4,513.76","4,545.85","4,513.76","4,535.43"
08/27/2021,"4,450.29","4,513.33","4,450.29","4,509.37"
08/20/2021,"4,461.65","4,480.26","4,367.73","4,441.67"
08/13/2021,"4,437.77","4,468.37","4,424.74","4,468.00"
08/06/2021,"4,406.86","4,440.82","4,373.00","4,436.52"
07/30/2021,"4,409.58","4,429.97","4,372.51","4,395.26"
07/23/2021,"4,296.40","4,415.18","4,233.13","4,411.79"
07/16/2021,"4,372.41","4,393.68","4,322.53","4,327.16"
07/09/2021,"4,356.46","4,371.60","4,289.37","4,369.55"
07/02/2021,"4,284.90","4,355.43","4,274.67","4,352.34"
06/25/2021,"4,173.40","4,286.12","4,173.40","4,280.70"
06/18/2021,"4,248.31","4,257.16","4,164.40","4,166.45"
06/11/2021,"4,229.34","4,249.74","4,208.41","4,247.44"
06/04/2021,"4,216.52","4,234.12","4,167.93","4,229.89"
05/28/2021,"4,170.16","4,218.36","4,170.16","4,204.11"
05/21/2021,"4,169.92","4,188.72","4,061.41","4,155.86"
05/14/2021,"4,228.29","4,236.39","4,056.88","4,173.85"
05/07/2021,"4,191.98","4,238.04","4,128.59","4,232.60"
04/30/2021,"4,185.03","4,218.78","4,174.85","4,181.17"
04/23/2021,"4,179.80","4,194.17","4,118.38","4,180.17"
04/16/2021,"4,124.71","4,191.31","4,114.82","4,185.47"
04/09/2021,"4,034.44","4,129.48","4,034.44","4,128.80"
04/01/2021,"3,969.31","4,020.63","3,943.25","4,019.87"
03/26/2021,"3,916.48","3,978.19","3,853.50","3,974.54"
03/19/2021,"3,942.96","3,983.87","3,886.75","3,913.10"
03/12/2021,"3,844.39","3,960.27","3,819.25","3,943.34"
03/05/2021,"3,842.51","3,914.50","3,723.34","3,841.94"
02/26/2021,"3,885.55","3,928.65","3,789.54","3,811.15"
02/19/2021,"3,939.61","3,950.43","3,885.03","3,906.71"
02/12/2021,"3,892.59","3,937.23","3,884.94","3,934.83"
02/05/2021,"3,731.17","3,894.56","3,725.62","3,886.83"
01/29/2021,"3,851.68","3,870.90","3,694.12","3,714.24"
01/22/2021,"3,781.88","3,861.45","3,780.37","3,841.47"
01/15/2021,"3,803.14","3,823.60","3,749.62","3,768.25"
01/08/2021,"3,698.02","3,826.69","3,695.07","3,824.68"
