Date,Open,High,Low,Close
05/20/2021,"48,266","49,812","30,445","40,108"
05/15/2021,"59,014","59,552","46,710","48,255"
05/08/2021,"57,685","59,556","53,058","59,014"
05/01/2021,"50,955","58,459","47,110","57,700"
04/24/2021,"60,843","60,966","47,657","50,955"
04/17/2021,"58,606","64,788","58,599","60,843"
04/10/2021,"58,038","61,197","55,494","58,621"
04/03/2021,"55,909","60,118","54,740","58,063"
03/27/2021,"58,466","58,792","50,485","55,916"
03/20/2021,"61,002","61,674","53,311","58,466"
03/13/2021,"48,592","61,732","48,552","61,002"
03/06/2021,"46,844","52,564","43,197","48,583"
02/27/2021,"56,523","58,315","44,246","46,844"
02/20/2021,"47,210","57,485","45,944","56,501"
02/13/2021,"40,085","48,842","37,422","47,210"
02/06/2021,"34,649","40,972","32,237","40,103"
01/30/2021,"32,399","38,641","29,288","34,649"
01/23/2021,"35,935","37,843","28,898","32,340"
01/16/2021,"40,802","41,423","30,323","35,785"
01/09/2021,"31,714","41,958","28,258","40,769"
01/02/2021,"26,666","33,219","25,824","31,690"
12/26/2020,"23,988","26,753","22,080","26,648"
12/19/2020,"18,800","24,128","18,734","24,004"
12/12/2020,"19,019","19,429","17,604","18,794"
12/05/2020,"17,765","19,928","17,556","19,019"
11/28/2020,"18,635","19,495","16,311","17,764"
11/21/2020,"15,996","18,964","15,795","18,638"
11/14/2020,"14,846","16,486","14,692","15,997"
11/07/2020,"13,847","15,937","13,243","14,846"
10/31/2020,"13,103","14,047","12,810","13,841"
10/24/2020,"11,357","13,216","11,345","13,103"
10/17/2020,"11,371","11,719","11,225","11,356"
10/10/2020,"10,580","11,464","10,536","11,371"
10/03/2020,"10,721","10,948","10,401","10,580"
09/26/2020,"11,093","11,093","10,144","10,720"
09/19/2020,"10,446","11,164","10,231","11,093"
09/12/2020,"10,112","10,485","9,891","10,447"
09/05/2020,"11,528","12,062","9,905","10,112"
08/29/2020,"11,616","11,832","11,150","11,528"
08/22/2020,"11,876","12,466","11,395","11,616"
08/15/2020,"11,715","12,070","11,151","11,876"
08/08/2020,"11,835","12,097","10,711","11,715"
08/01/2020,"9,729","11,874","9,670","11,835"
07/25/2020,"9,185","9,742","9,119","9,734"
07/18/2020,"9,224","9,345","8,608","9,185"
07/11/2020,"9,131","9,473","8,938","9,224"
07/04/2020,"8,957","9,300","8,945","9,132"
06/27/2020,"9,319","9,752","8,859","8,957"
06/20/2020,"9,408","9,594","8,927","9,319"
06/13/2020,"9,708","9,975","9,198","9,407"
06/06/2020,"9,439","10,339","9,364","9,708"
05/30/2020,"9,235","9,614","8,679","9,439"
05/23/2020,"9,698","9,832","8,819","9,235"
