shop_code,transactionId,date,shopName
S19724004,12170108,10/05/2022,*Mạnh Cường Store*
S21162872,12170907,10/05/2022,Míu Corset - Đồ Lót Hỗ Trợ Vóc Dáng
S9658866,12176967,10/05/2022,Ngọc Hoa04
S2806976,12179944,10/05/2022,Cùi-dìa
S185422,12179945,10/05/2022,shop mẹ Sam
S648713,12179946,10/05/2022,trắng.store137
S4693508,12179947,10/05/2022,Shop Hang Auth
S4494472,12179948,10/05/2022,lan anh 16 1
S6925524,12179949,10/05/2022,Nguyễn Hồng Long
S8931220,12179950,10/05/2022,shop thuận khiêm
S7149160,12179953,10/05/2022,Mi Ni (Công ty Hà Kim Ngân)
S10163726,12179956,10/05/2022,LinhNhim
S12148337,12179957,10/05/2022,B-Order
S9377310,12179958,10/05/2022,khang17
S13435166,12179959,10/05/2022,Shop Trà Thảo Mộc Organic
S15663982,12179962,10/05/2022,Zezehadi
S8426402,12179963,10/05/2022,SilverQueen
S10687826,12179966,10/05/2022,Nice Mom Fashion
S12340196,12179969,10/05/2022,Quang Chung Store
S14343292,12179970,10/05/2022,Phong Thuỷ Maxi
S14870386,12179971,10/05/2022,xương khớp Thầy Thanh
S14913430,12179972,10/05/2022,trần bá duy
S16489900,12179973,10/05/2022,Bebi93
S10966280,12179974,10/05/2022,linhperfect
S18647724,12179975,10/05/2022,Lynth
S14458117,12179976,10/05/2022,giang mixu
S14893516,12179977,10/05/2022,LINHpc123
S14555341,12179978,10/05/2022,đồ hiệu TRẦN
S18573821,12179979,10/05/2022,Mondeyyy
S15150283,12179980,10/05/2022,Ánh ngáo
S15668884,12179981,10/05/2022,Lã Vũ Hoàng Anh
S16938394,12179982,10/05/2022,AowVN
S11623,12179983,10/05/2022,TC-FASHION
S19364156,12179984,10/05/2022,Táo kids
S42879,12179985,10/05/2022,quần áo sơ sinh baby
S20225661,12179986,10/05/2022,Đồ gia dụng thông minh...
S18594718,12179987,10/05/2022,Thiên Kiều
S16464625,12179988,10/05/2022,Cu Đức Áo Bóng Đá
S16738615,12179989,10/05/2022,Dermarium_Da Nang
S33504,12179990,10/05/2022,Hàng Mỹ Zeni's
S18859771,12179991,10/05/2022,Bắc Táo
S1027404,12179992,10/05/2022,Thu Thuỷ
S19969342,12179993,10/05/2022,Khánh Ly Bùi
S16386022,12179994,10/05/2022,oto vn
S20435820,12179995,10/05/2022,Holikids
S248143,12179996,10/05/2022,Châu 8357
S19876811,12179997,10/05/2022,Trang Trang
S39962,12179998,10/05/2022,TB Nails - Phụ Liệu Nails SG
S18947399,12179999,10/05/2022,Ratek Store
S20003048,12180000,10/05/2022,SHOP Lương Phúc
S256360,12180001,10/05/2022,T.Ấ.T store
S496501,12180002,10/05/2022,Yaa's shop
S3692651,12180003,10/05/2022,Phương Châu
S18266351,12180004,10/05/2022,Ann
S18913663,12180005,10/05/2022,TranTuanKiet
S7854160,12180006,10/05/2022,Xuân Chính Apple Watch
S45116,12180007,10/05/2022,Bạch Thuỳ Shop
S20070081,12180008,10/05/2022,Phila Niê- Lan Chi
S38021,12180009,10/05/2022,2DStore
S21395227,12180010,10/05/2022,KELLY
S21187329,12180013,10/05/2022,Trần Thị An
S21207509,12180020,10/05/2022,KIERA STORE
S2147730,12180024,10/05/2022,Thietbiquanghoc
S21348386,12180025,10/05/2022,Bào Ngư Shop
S2272674,12180028,10/05/2022,Hưng Thinh Phát
S20354756,12180029,10/05/2022,ĐOÀN THỊ CHI
S586901,12180030,10/05/2022,La Yến Team
S18773330,12180031,10/05/2022,Duy Boo
S20481172,12180034,10/05/2022,cửa hàng phong thuỷ
S18020933,12180035,10/05/2022,Bảo Trang1987
S21339410,12180038,10/05/2022,OLWEN Store ...
S1722409,12180039,11/05/2022,Ngọc Thuần
S205168,12180042,11/05/2022,TUYẾT
S2749348,12180045,11/05/2022,Lê Thị Khánh Trà
S128651,12180046,11/05/2022,Canashop
S19761545,12180049,11/05/2022,Minh Nguyễn
S4347963,12180052,11/05/2022,teoemshop
S4123779,12180053,11/05/2022,STORK
S2973762,12180054,11/05/2022,VTH Computer
S7223264,12180055,11/05/2022,hang2k
S6229566,12180056,11/05/2022,hoa3010
S6831943,12180057,11/05/2022,Ha Thao My
S3272140,12180058,11/05/2022,She9999
S4286379,12180059,11/05/2022,Hải Đăng Shop27
S4347407,12180060,11/05/2022,tichmichshop
S8906472,12180061,11/05/2022,Foxiii
S8930236,12180062,11/05/2022,Ong Hạnh
S4541912,12180067,11/05/2022,TuTy Case
S5110456,12180068,11/05/2022,Tùng Lâm Ngx Bá
S9705144,12180069,11/05/2022,Minh An Shop
S9986663,12180072,11/05/2022,tuấn vũ
S11633612,12180075,11/05/2022,trang chíp 11
S6454874,12180076,11/05/2022,shop hiếu hoàng
S7079500,12180079,11/05/2022,LongKent
S5749935,12180080,11/05/2022,BÁNH TRÁNG CÔ LIÊN
S19798657,12180081,11/05/2022,hoà burberry
S7037204,12180082,11/05/2022,MP TECH
S7106608,12180085,11/05/2022,cherry chipi
S9201009,12180086,11/05/2022,Phương Thúy
S7747792,12180087,11/05/2022,shop MAI THANH THAO
S8122254,12180088,11/05/2022,Niia store
S14015449,12180089,11/05/2022,LaLa
S11369624,12180090,11/05/2022,Nguyễn Hiếu 98
S11493449,12180091,11/05/2022,Mã Hoàng Khánh Linh
