Date,Open,High,Low,Close
2019-05-24,2841.94,2868.88,2805.49,2826.06
2019-05-31,2830.03,2840.51,2750.52,2752.06
2019-06-07,2751.53,2884.97,2728.81,2873.34
2019-06-14,2885.83,2910.61,2874.68,2886.98
2019-06-21,2889.75,2964.15,2887.3,2950.46
2019-06-28,2951.42,2954.92,2912.99,2941.76
2019-07-05,2971.41,2995.84,2952.22,2990.41
2019-07-12,2979.77,3013.92,2963.44,3013.77
2019-07-19,3017.8,3017.8,2973.09,2976.61
2019-07-26,2981.93,3027.98,2976.65,3025.86
2019-08-02,3024.47,3025.61,2914.11,2932.05
2019-08-09,2898.07,2938.72,2822.12,2918.65
2019-08-16,2907.07,2943.31,2825.51,2888.68
2019-08-23,2913.48,2939.08,2834.97,2847.11
2019-08-30,2866.7,2940.43,2853.05,2926.46
2019-09-06,2909.01,2985.86,2891.85,2978.71
2019-09-13,2988.43,3020.74,2957.01,3007.39
2019-09-20,2996.41,3021.99,2978.57,2992.07
2019-09-27,2983.5,3007.98,2945.53,2961.79
2019-10-04,2967.07,2992.53,2855.94,2952.01
2019-10-11,2944.23,2993.28,2892.66,2970.27
2019-10-18,2965.81,3008.29,2962.94,2986.2
2019-10-25,2996.48,3027.39,2991.21,3022.55
2019-11-01,3032.12,3066.95,3023.19,3066.91
2019-11-08,3078.96,3097.77,3065.89,3093.08
2019-11-15,3080.33,3120.46,3075.82,3120.46
2019-11-22,3117.91,3127.64,3091.41,3110.29
2019-11-29,3117.44,3154.26,3117.44,3140.98
2019-12-06,3143.85,3150.6,3070.33,3145.91
2019-12-13,3141.86,3182.68,3126.09,3168.8
2019-12-20,3183.63,3225.65,3183.63,3221.22
2019-12-27,3226.05,3247.93,3220.51,3240.02
2020-01-03,3240.09,3258.14,3212.03,3234.85
2020-01-10,3217.55,3282.99,3214.64,3265.35
2020-01-17,3271.13,3329.88,3268.43,3329.62
2020-01-24,3321.03,3337.77,3281.53,3295.47
2020-01-31,3247.16,3293.47,3214.68,3225.52
2020-02-07,3235.66,3347.96,3235.66,3327.71
2020-02-14,3318.28,3385.09,3317.77,3380.16
2020-02-21,3369.04,3393.52,3328.45,3337.75
2020-02-28,3257.61,3259.81,2855.84,2954.22
2020-03-06,2974.28,3136.72,2901.54,2972.37
2020-03-13,2863.89,2882.59,2478.86,2711.02
2020-03-20,2508.59,2562.98,2280.52,2304.92
2020-03-27,2290.71,2637.01,2191.86,2541.47
2020-04-03,2558.98,2641.39,2447.49,2488.65
2020-04-09,2578.28,2818.57,2574.57,2789.82
2020-04-17,2782.46,2879.22,2721.17,2874.56
2020-04-24,2845.62,2868.98,2727.1,2836.74
2020-05-01,2854.65,2954.86,2821.61,2830.71
2020-05-08,2815.01,2932.16,2797.85,2929.8
2020-05-15,2794.54,2865.01,2766.64,2863.7
2020-05-22,2913.86,2980.29,2913.86,2955.45
2020-05-29,3004.08,3068.67,2969.75,3044.31
2020-06-05,3038.78,3211.72,3031.54,3193.93
2020-06-12,3199.92,3233.13,2984.47,3041.31
2020-06-19,2993.76,3155.53,2965.66,3097.74
2020-06-26,3094.42,3154.9,3004.63,3009.05
2020-07-02,3018.59,3165.81,2999.74,3130.01
2020-07-10,3155.29,3186.82,3115.7,3185.04
2020-07-17,3205.08,3238.28,3127.66,3224.73
2020-07-24,3224.29,3279.99,3200.05,3215.63
2020-07-31,3219.84,3272.17,3204.13,3271.12
2020-08-07,3288.26,3352.54,3284.53,3351.28
2020-08-14,3356.04,3387.89,3326.44,3372.85
2020-08-21,3380.86,3399.96,3354.69,3397.16
2020-08-28,3418.09,3509.23,3413.13,3508.01
2020-09-04,3509.73,3588.11,3349.63,3426.96
2020-09-11,3371.88,3425.55,3310.47,3340.97
2020-09-18,3363.56,3428.92,3292.4,3319.47
2020-09-25,3285.57,3323.35,3209.45,3298.46
2020-10-02,3333.9,3397.18,3323.69,3348.44
2020-10-09,3367.27,3482.34,3354.54,3477.13
2020-10-16,3500.02,3549.85,3440.89,3483.81
2020-10-23,3493.66,3502.42,3415.34,3465.39
2020-10-30,3441.42,3441.42,3233.94,3269.96
2020-11-06,3296.2,3529.05,3279.74,3509.44
2020-11-13,3583.04,3645.99,3511.91,3585.15
2020-11-20,3600.16,3628.51,3543.84,3557.54
2020-11-27,3566.82,3644.31,3552.77,3638.35
2020-12-04,3634.18,3699.2,3594.39,3699.12
2020-12-11,3694.73,3712.39,3633.4,3663.46
2020-12-18,3675.27,3726.7,3645.84,3709.41
2020-12-24,3684.28,3711.24,3636.48,3703.06
